ahurir;2;6;ahur;;t;;;;;
aicher;1;3;aich;;t;;;;;escher|écher
aider;1;3;aid;;t;ti;p;;;
aigrir;2;6;aigr;;t;i;p;;;
aiguiller;1;9;aiguill;;t;;;;;
aiguilleter;1;24;aiguillet;;t;;;;;
aiguillonner;1;3;aiguillonn;;t;;;;;
aiguiser;1;3;aiguis;;t;p;;;;
ailler;1;9;aill;;t;;;;;
aimanter;1;3;aimant;;t;p;;;;
aimer;1;3;aim;;t;p;;;;
airer;1;3;air;;i;;;;;
ajointer;1;3;ajoint;;t;;;;;
ajourer;1;3;ajour;;t;;;;;
ajourner;1;3;ajourn;;t;;;;;
ajouter;1;3;ajout;;t;ti;p;;;
ajuster;1;3;ajust;;t;p;;;;
alambiquer;1;11;alambiqu;;t;;;;;
alanguir;2;6;alangu;;t;p;;;;
alarmer;1;3;alarm;;t;p;;;;
alcaliniser;1;3;alcalinis;;t;;;;;
alcaliser;1;3;alcalis;;t;;;;;
alcooliser;1;3;alcoolis;;t;p;;;;
alentir;2;6;alent;;t;;;;;
alerter;1;3;alert;;t;;;;;
aléser;1;14;al;;t;;;;;
aleviner;1;3;alevin;;t;;;;;
aliéner;1;14;ali;;t;p;;;;
aligner;1;9;align;;t;p;;;;
alimenter;1;3;aliment;;t;p;;;;
aliter;1;3;alit;;t;p;;;;
allaiter;1;3;alait;;t;;;;;
allécher;1;14;all;;t;;;;;
alléger;1;18;all;;t;;;;;
allégir;1;6;all;;t;;;;;
allégoriser;1;3;allégoris;;t;;;;;
alléguer;1;16;all;;t;;;;;
aller;1;31;;;i;p;;;être;
allier;1;8;alli;;t;p;;;;
allonger;1;13;along;;i;t;;;;
allouer;1;7;allou;;t;;;;;
allumer;1;3;allum;;t;p;;;;
alluvionner;1;3;alluvionn;;i;;;;;
alourdir;2;6;alourd;;t;p;;;;
alpaguer;1;11;alpagu;;t;;;;;
alphabétiser;1;3;alphabétis;;t;;;;;
alterner;1;3;altern;;i;t;;;;
altérer;1;14;alt;;t;p;;;;
aluminer;1;3;alumin;;t;;;;;
aluner;1;3;alun;;t;;;;;
alunir;2;6;alun;;i;;;;avoir/être;
amadouer;1;7;amadou;;t;;;;;
amaigrir;2;6;amaigr;;t;p;;;;
amalgamer;1;3;amalgam;;t;p;;;;
amariner;1;3;amarin;;t;p;;;;
amarrer;1;3;amarr;;t;p;;;;
amasser;1;3;amass;;t;;;;;
amatir;2;6;amat;;t;;;;;
ambitionner;1;3;ambitionn;;t;;;;;
ambler;1;3;ambl;;i;;;;;
ambrer;1;3;ambr;;t;;;;;
améliorer;1;3;amélior;;t;;;;;
aménager;1;13;aménag;;t;;;;;
amender;1;3;amend;;t;p;;;;
amener;1;19;am;;t;p;;;;
amenuiser;1;3;amenuis;;t;p;;;;
américaniser;1;3;américanis;;t;p;;;;
amerrir;2;6;ammer;;i;;;;avoir/être;
ameublir;2;6;ameubl;;t;;;;;
ameuter;1;3;ameut;;t;;;;;
amidonner;1;3;amidonn;;t;;;;;
amincir;2;6;aminc;;i;t;;;;
aminer;1;3;amin;;i;;;;;
amnistier;1;8;amnist;;t;;;;;
amocher;1;3;amoch;;t;p;;;;
amodier;1;8;amodi;;t;;;;;
amoindrir;2;6;amoindr;;t;p;;;;
amollir;2;6;amoll;;t;p;;;;
amonceler;1;21;amoncel;;t;p;;;;
amorcer;1;12;amor;;t;p;;;;
amortir;2;6;amort;;t;p;;;;
amouracher;1;3;amourach;;xp;;;;;
amplifier;1;8;amplifi;;t;p;;;;
amputer;1;3;amput;;t;;;;;
amuïr;2;6;amu;;xp;;;;;
amurer;1;3;amur;;t;;;;;
amuser;1;3;amus;;t;p;;;;
analgésier;1;8;analgési;;t;;;;;
analyser;1;3;analys;;t;p;;;;
anastomoser;1;3;anastomos;;t;p;;;;
anathématiser;1;3;anathématis;;t;;;;;
ancrer;1;3;ancr;;t;p;;;;
anéantir;2;6;anéant;;t;p;;;;
anémier;1;8;anémi;;t;;;;;
anesthésier;1;8;anesthési;;;;;;;
anglaiser;1;3;anglais;;t;;;;;
angliciser;1;3;anglicis;;t;;;;;
angoisser;1;3;angoiss;;i;t;;;;
anhéler;1;14;anh;;i;;;;;
animaliser;1;3;animalis;;t;;;;;
animer;1;3;anim;;t;;;;;
aniser;1;3;anis;;t;;;;;
ankyloser;1;3;ankylos;;t;p;;;;
anneler;1;21;annel;;t;;;;;
annexer;1;3;annex;;t;p;;;;
annihiler;1;3;annihile;;t;p;;;;
annoncer;1;12;annon;;t;p;;;;
annoter;1;3;annot;;t;;;;;
annualiser;1;3;annualis;;t;;;;;
annuler;1;3;annul;;t;p;;;;
anoblir;2;6;anobl;;t;;;;;
anodiser;1;3;anodis;;t;;;;;
ânonner;1;3;ânonn;;t;;;;;
anonymiser;1;3;anonymis;;t;;;;;
anordir;2;6;anord;;i;;;;;
antéposer;1;3;antédépos;;t;;;;;
anticiper;1;3;anticip;;i;t;ti;;;
antidater;1;3;antidat;;t;;;;;
aoûter;1;3;août;;t;;;;;
apaiser;1;3;apais;;t;p;;;;
apanager;1;13;apanag;;t;;;;;
apercevoir;3;48;;;t;p;;;;
apeurer;1;3;apeur;;t;;;;;
apiquer;1;11;apiqu;;t;;;;;
apitoyer;1;27;apitoy;;t;p;;;;
aplanir;2;6;aplan;;t;p;;;;
aplatir;2;6;aplat;;t;p;;;;
aplomber;1;3;aplomb;;t;p;;;;
apostasier;1;8;apostas;;i;;;;;
aposter;1;3;apost;;t;;;;;
apostiller;1;9;apostill;;t;;;;;
apostropher;1;3;apostroph;;t;;;;;
appairer;1;3;appair;;t;;;;;
apparaître;3;96;;;i;;;;avoir/être;
appareiller;1;9;appareill;;i;t;p;;;
apparenter;1;3;apparent;;t;p;;;;
apparier;1;8;appari;;;;;;
apparoir;3;;;;i;d;;;
appartenir;3;39;appart;;ti;p;;;
appâter;1;3;appât;;t;;;;
appauvrir;2;6;appauvr;;t;p;;;
appeler;1;21;appel;;;;;;
appendre;3;83;;;t;;;;
appertiser;1;3;appertis;;t;;;;
appesantir;2;6;appesant;;t;p;;;
appéter;1;14;app;;t;;;;
applaudir;2;6;applaud;;t;ti;p;;
appliquer;1;11;appliqu;;t;p;;;
appointer;1;3;appoint;;t;;;;
appointir;2;6;appoint;;t;;;;
apponter;1;3;appont;;i;;;;
apporter;1;3;apport;;t;;;;
apposer;1;3;appos;;t;;;;
apprécier;1;8;appréci;;t;p;;;
appréhender;1;3;appréhend;;t;;;;
apprendre;3;84;appren;;t;p;;;
apprêter;1;3;apprêt;;t;p;;;
apprivoiser;1;3;apprivois;;t;p;;;
approcher;1;3;approch;;i;ti;t;p;
